Motion Sensor Data File Sep 20, 2018 1:40 PM
Time (s)	Distance (cm)	Dist Error (cm)
6.180	16.812	0.239
6.190	16.705	0.239
6.200	16.631	0.239
6.210	16.610	0.239
6.220	16.619	0.239
6.230	16.667	0.239
6.240	16.761	0.239
6.250	16.878	0.239
6.260	17.037	0.239
6.270	17.235	0.239
6.280	17.459	0.239
6.290	17.713	0.239
6.300	18.010	0.239
6.310	18.320	0.239
6.320	18.655	0.239
6.330	19.012	0.239
6.340	19.408	0.239
6.350	19.804	0.239
6.360	20.213	0.239
6.370	20.647	0.239
6.380	21.077	0.239
6.390	21.507	0.239
6.400	21.955	0.239
6.410	22.385	0.239
6.420	22.806	0.239
6.430	23.237	0.239
6.440	23.641	0.239
6.450	24.032	0.239
6.460	24.415	0.239
6.470	24.768	0.239
6.480	25.095	0.239
6.490	25.413	0.239
6.500	25.685	0.239
6.510	25.926	0.239
6.520	26.145	0.239
6.530	26.322	0.239
6.540	26.455	0.239
6.550	26.554	0.239
6.560	26.632	0.239
6.570	26.658	0.239
6.580	26.645	0.239
6.590	26.611	0.239
6.600	26.525	0.239
6.610	26.401	0.239
6.620	26.259	0.239
6.630	26.066	0.239
6.640	25.838	0.239
6.650	25.593	0.239
6.660	25.301	0.239
6.670	24.988	0.239
6.680	24.657	0.239
6.690	24.292	0.239
6.700	23.909	0.239
6.710	23.518	0.239
6.720	23.101	0.239
6.730	22.676	0.239
6.740	22.242	0.239
6.750	21.816	0.239
6.760	21.378	0.239
6.770	20.940	0.239
6.780	20.518	0.239
6.790	20.097	0.239
6.800	19.685	0.239
6.810	19.298	0.239
6.820	18.916	0.239
6.830	18.554	0.239
6.840	18.228	0.239
6.850	17.914	0.239
6.860	17.627	0.239
6.870	17.386	0.239
6.880	17.163	0.239
6.890	16.974	0.239
6.900	16.832	0.239
6.910	16.721	0.239
6.920	16.639	0.239
6.930	16.596	0.239
6.940	16.605	0.239
6.950	16.640	0.239
6.960	16.709	0.239
6.970	16.829	0.239
6.980	16.971	0.239
6.990	17.152	0.239
7.000	17.380	0.239
7.010	17.621	0.239
7.020	17.897	0.239
7.030	18.215	0.239
7.040	18.546	0.239
